"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies Inc.","Technology","Scientific & Technical Instruments","USA",13835.67,13.45,39.80,-3.56%,7658249
2,"AA","Alcoa, Inc.","Basic Materials","Aluminum","USA",10303.26,28.41,9.66,0.31%,14917650
3,"AACC","Asset Acceptance Capital Corp.","Financial","Credit Services","USA",156.16,13.05,5.09,2.00%,69368
4,"AADR","WCM/BNY Mellon Focused Growth ADR ETF","Financial","Exchange Traded Fund","USA",,,30.05,0.60%,200
5,"AAME","Atlantic American Corp.","Financial","Life Insurance","USA",61.68,22.31,2.90,-2.03%,3634
6,"AAN","Aaron's, Inc.","Services","Rental & Leasing Services","USA",1891.88,17.28,24.88,-1.50%,508324
7,"AAON","AAON Inc.","Industrial Goods","General Building Materials","USA",476.17,34.61,19.38,1.95%,53838
8,"AAP","Advance Auto Parts Inc.","Services","Auto Parts Stores","USA",6507.37,17.42,88.85,-1.92%,718867
9,"AAPL","Apple Inc.","Technology","Personal Computers","USA",522388.29,15.96,560.28,-2.00%,35139692
10,"AAT","American Assets Trust, Inc.","Financial","REIT - Office","USA",911.30,,23.20,3.11%,96968
11,"AAU","Almaden Minerals Ltd.","Basic Materials","Industrial Metals & Minerals","Canada",128.29,15.50,2.17,-0.91%,89586
12,"AAV","Advantage Oil & Gas Ltd.","Basic Materials","Oil & Gas Drilling & Exploration","Canada",483.05,,2.90,2.47%,100652
13,"AAVX","UBS E-TRACS Dly Sh 1Mo S&P500 VIX Fu ETN","Financial","Exchange Traded Fund","USA",,,142.74,1.21%,400
14,"AAWW","Atlas Air Worldwide Holdings Inc.","Services","Air Services, Other","USA",1188.50,12.45,45.19,1.71%,440300
15,"AAXJ","iShares MSCI All Country Asia ex Jpn Idx","Financial","Exchange Traded Fund","USA",2459.32,,55.39,0.38%,117583
16,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",1502.88,,14.29,1.56%,131432
17,"ABAX","Abaxis Inc.","Healthcare","Diagnostic Substances","USA",620.77,55.04,28.62,-1.24%,110850
18,"ABB","ABB Ltd.","Industrial Goods","Industrial Electrical Equipment","Switzerland",46804.04,14.65,20.22,1.81%,3265942
19,"ABC","AmerisourceBergen Corporation","Services","Drugs Wholesale","USA",9668.63,14.48,37.50,0.03%,2520295
20,"ABCB","Ameris Bancorp","Financial","Regional - Mid-Atlantic Banks","USA",308.27,17.08,12.98,1.88%,64292
21,"ABCD","Cambium Learning Group, Inc.","Services","Education & Training Services","USA",127.37,,2.57,10.30%,11159
22,"ABCO","Advisory Board Co.","Services","Business Services","USA",1471.46,67.90,88.27,0.23%,79274
23,"ABCS","Guggenheim ABC High Dividend","Financial","Exchange Traded Fund","USA",,,22.22,0.00%,9895
24,"ABCW","Anchor BanCorp Wisconsin, Inc.","Financial","Savings & Loans","USA",14.74,,0.68,0.00%,0
25,"ABD","ACCO Brands Corporation","Consumer Goods","Office Supplies","USA",596.16,34.61,10.73,0.47%,1259181
26,"ABFS","Arkansas Best Corporation","Services","Trucking","USA",452.50,77.30,17.78,1.89%,214450
27,"ABG","Asbury Automotive Group, Inc.","Services","Auto Dealerships","USA",815.62,17.71,25.86,-1.86%,812458
28,"ABH","Resolute Forest Products","Consumer Goods","Paper & Paper Products","Canada",1270.91,31.17,13.09,0.31%,123213
29,"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology","USA",8.53,,0.70,1.45%,15100
30,"ABM","ABM Industries Inc.","Services","Business Services","USA",1234.18,17.53,22.97,0.83%,151613
31,"ABMC","American Bio Medica Corp.","Healthcare","Diagnostic Substances","USA",3.91,,0.18,0.00%,0
32,"ABMD","Abiomed Inc.","Healthcare","Medical Appliances & Equipment","USA",888.58,,22.79,2.52%,438271
33,"ABR","Arbor Realty Trust Inc.","Financial","REIT - Diversified","USA",134.46,,5.57,0.54%,12742
34,"ABT","Abbott Laboratories","Healthcare","Drug Manufacturers - Major","USA",95489.42,18.80,60.73,1.44%,8708305
35,"ABTL","Autobytel Inc.","Technology","Internet Information Providers","USA",42.43,92.00,0.92,0.00%,10509
36,"ABV","Companhia de Bebidas Das Americas (AMBEV)","Consumer Goods","Beverages - Brewers","Brazil",134609.67,29.17,43.17,-0.80%,2940345
37,"ABVA","Alliance Bankshares Corporation","Financial","Regional - Mid-Atlantic Banks","USA",20.59,,4.03,0.00%,746
38,"ABVT","AboveNet, Inc.","Technology","Internet Service Providers","USA",2181.07,30.67,83.12,0.10%,117783
39,"ABX","Barrick Gold Corporation","Basic Materials","Gold","Canada",39631.39,8.84,39.61,-0.20%,4557184
40,"ACAD","ACADIA Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",77.28,,1.46,0.00%,508980
41,"ACAS","American Capital, Ltd.","Financial","Asset Management","USA",3029.20,3.32,9.07,1.45%,3711333
42,"ACAT","Arctic Cat Inc.","Consumer Goods","Recreational Vehicles","USA",835.88,30.96,44.58,2.06%,165186
43,"ACC","American Campus Communities Inc.","Financial","REIT - Residential","USA",3351.64,77.38,44.88,1.01%,654571
44,"ACCL","Accelrys Inc.","Technology","Application Software","USA",442.26,397.50,7.95,2.19%,77110
45,"ACCU","Accuvest Global Opportunities ETF","Financial","Exchange Traded Fund","USA",,,25.69,0.86%,31500
46,"ACE","ACE Limited","Financial","Property & Casualty Insurance","Switzerland",25480.03,16.25,75.24,0.99%,1968469
47,"ACEL","Tamir Biotechnology, Inc.","Healthcare","Biotechnology","USA",2.84,,0.06,0.00%,0
48,"ACET","Aceto Corp.","Basic Materials","Chemicals - Major Diversified","USA",242.27,16.14,9.04,0.67%,56500
49,"ACFC","Atlantic Coast Financial Corporation","Financial","Regional - Southeast Banks","USA",5.92,,2.25,-3.43%,1170
50,"ACFN","Acorn Energy, Inc.","Technology","Computer Peripherals","USA",198.80,35.00,11.20,0.45%,100388
51,"ACG","AllianceBernstein Income Fund, Inc.","Financial","Closed-End Fund - Debt","USA",1982.63,10.88,8.16,-0.34%,827992
52,"ACGL","Arch Capital Group Ltd.","Financial","Property & Casualty Insurance","Bermuda",5246.17,13.00,38.74,0.62%,598949
53,"ACH","Aluminum Corporation Of China Limited","Basic Materials","Aluminum","China",6529.63,172.43,12.07,1.34%,174501
54,"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Specialized Health Services","USA",490.15,,15.26,-0.20%,29584
55,"ACHN","Achillion Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",492.43,,6.97,3.26%,1022585
56,"ACI","Arch Coal Inc.","Basic Materials","Industrial Metals & Minerals","USA",2044.45,12.85,9.64,1.69%,7266838
57,"ACIM","SPDR MSCI ACWI IMI","Financial","Exchange Traded Fund","USA",,,49.30,0.00%,0
58,"ACIW","ACI Worldwide, Inc.","Technology","Technical & System Software","USA",1499.03,28.55,38.26,-0.80%,453417
59,"ACLS","Axcelis Technologies Inc.","Technology","Semiconductor Equipment & Materials","USA",158.57,29.60,1.48,4.96%,347192
60,"ACM","AECOM Technology Corporation","Services","Technical Services","USA",2534.48,9.53,21.64,0.60%,462550
61,"ACN","Accenture plc","Technology","Information Technology Services","Ireland",44278.68,16.66,62.82,-0.33%,3038196
62,"ACNB","ACNB Corp.","Financial","Regional - Southwest  Banks","USA",86.28,10.14,14.50,-1.02%,4712
63,"ACO","Amcol International Corp.","Basic Materials","Industrial Metals & Minerals","USA",952.27,16.08,29.74,3.05%,133923
64,"ACOM","Ancestry.com Inc.","Technology","Internet Information Providers","USA",996.84,18.00,23.40,-0.26%,596919
65,"ACOR","Acorda Therapeutics, Inc.","Healthcare","Biotechnology","USA",968.28,32.09,24.39,-0.53%,222125
66,"ACPW","Active Power Inc.","Industrial Goods","Diversified Machinery","USA",67.00,,0.84,7.77%,442520
67,"ACRX","AcelRx Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Major","USA",62.62,,3.20,-5.60%,8139
68,"ACSEF","ACS Motion Control Ltd","Industrial Goods","Industrial Electrical Equipment","Israel",4.76,4.83,1.45,0.00%,0
69,"ACTG","Acacia Research Corporation","Services","Research Services","USA",1883.58,29.20,37.96,-5.27%,1005364
70,"ACTS","Actions Semiconductor Co., Ltd.","Technology","Semiconductor - Specialized","China",117.76,42.25,1.69,1.81%,36980
71,"ACTV","The Active Network, Inc.","Technology","Application Software","USA",973.77,,16.74,0.42%,437836
72,"ACU","Acme United Corp.","Consumer Goods","Office Supplies","USA",33.33,11.81,10.75,-2.26%,2300
73,"ACUR","Acura Pharmaceuticals Inc.","Healthcare","Drug Delivery","USA",150.42,15.62,3.28,2.18%,30992
74,"ACW","Accuride Corp.","Consumer Goods","Trucks & Other Vehicles","USA",337.86,,7.14,0.14%,933223
